valueDate,code,name,category,risk,company,manager,establishmentDate,size,rating,quota,institutionalProportion,shares,bonds,cash,yield,vix,loss,last1m,last3m,last6m,last1y,last2y,last3y,series
2026-09-07,004320,前海开源沪港深乐享生活,混合型-灵活,中高风险,前海开源基金,魏淳,2017-05-12,82.34,5,-1,3.19,94.14,0.0,6.93,107.58,3.68,-40.98,18.55,5.22,72.29,176.43,474.18,354.92,0.0/12.78/1.48/38.4/35.36/54.25/60.77/173.66/238.34/99.68/157.32/176.43
2026-09-07,008326,东财通信A,指数型-股票,中高风险,东财基金,姚楠燕,2020-01-20,16.77,5,-1,0.83,95.27,0.0,7.72,71.59,3.13,-37.39,5.55,-10.21,41.38,106.38,353.44,329.59,0.0/11.74/1.73/24.45/29.95/48.63/42.91/119.48/177.57/73.78/109.84/106.38
2026-09-07,008327,东财通信C,指数型-股票,中高风险,东财基金,姚楠燕,2020-01-20,66.49,5,-1,0.12,95.27,0.0,7.72,71.1,3.13,-37.41,5.53,-10.26,41.2,105.88,351.23,326.37,0.0/11.74/1.68/24.37/29.84/48.45/42.71/119.1/177.03/73.39/109.36/105.88
2026-09-07,001412,德邦鑫星价值灵活配置混合A,混合型-灵活,中高风险,德邦基金,陆阳,2015-06-19,33.66,5,-1,3.04,92.6,0.0,8.43,82.97,3.98,-41.41,11.93,-11.19,27.24,80.4,473.17,430.35,0.0/17.47/2.73/29.06/26.66/48.25/32.61/103.62/136.59/38.62/79.73/80.4
2026-09-07,002112,德邦鑫星价值灵活配置混合C,混合型-灵活,中高风险,德邦基金,陆阳,2015-11-16,116.45,5,-1,1.37,92.6,0.0,8.43,82.74,3.97,-41.42,11.92,-11.21,27.18,80.22,472.01,428.77,0.0/17.46/2.72/29.03/26.62/48.18/32.54/103.49/136.41/38.5/79.57/80.22
2026-09-07,001437,易方达瑞享混合I,混合型-灵活,中高风险,易方达基金,武阳,2015-06-26,102.37,5,100000,8.36,94.36,0.0,5.92,80.24,3.32,-37.99,8.68,-3.31,52.93,114.81,405.5,282.26,0.0/12.98/-1.01/23.5/20.29/44.27/40.28/96.48/175.81/71.14/115.53/114.81
2026-09-07,001438,易方达瑞享混合E,混合型-灵活,中高风险,易方达基金,武阳,2015-06-26,91.15,5,100000,5.26,94.36,0.0,5.92,79.83,3.32,-38.0,8.66,-3.36,52.78,114.38,403.5,279.99,0.0/12.98/-1.06/23.44/20.2/44.12/40.12/96.24/175.37/70.83/115.13/114.38
2026-09-07,001194,景顺长城稳健回报混合A,混合型-灵活,中高风险,景顺长城基金,江山,2015-04-10,53.89,5,5000000,30.46,93.33,5.25,4.24,65.66,2.91,-34.83,0.54,-8.54,37.09,69.08,359.56,343.66,0.0/14.09/1.95/19.91/33.03/22.82/23.48/83.53/126.83/47.83/75.48/69.08
2026-09-07,001407,景顺长城稳健回报混合C,混合型-灵活,中高风险,景顺长城基金,江山,2015-06-08,47.98,5,5000000,45.76,93.33,5.25,4.24,65.26,2.9,-34.85,0.52,-8.59,36.95,68.77,357.79,340.53,0.0/14.11/1.93/19.86/32.96/22.7/23.35/83.31/126.52/47.58/75.2/68.77
2026-09-07,006502,财通集成电路产业股票A,股票型,中高风险,财通基金,金梓才,2018-11-29,22.96,5,-1,4.59,84.48,3.45,14.02,94.63,3.64,-40.38,1.13,-6.79,76.85,132.14,459.68,391.23,0.0/12.93/6.99/28.66/35.77/31.06/39.51/102.07/230.98/108.0/148.87/132.14
2026-09-07,007817,国泰中证全指通信设备ETF联接A,指数型-股票,中高风险,国泰基金,艾小军,2019-09-03,23.62,5,-1,1.92,0.0,0.0,6.74,51.23,3.19,-35.86,3.61,-13.75,23.81,68.62,280.51,260.8,0.0/11.43/3.07/26.03/35.01/33.93/32.64/72.46/128.01/50.44/71.39/68.62
2026-09-07,007818,国泰中证全指通信设备ETF联接C,指数型-股票,中高风险,国泰基金,艾小军,2019-09-03,50.65,5,-1,3.36,0.0,0.0,6.74,50.72,3.19,-35.88,3.58,-13.82,23.62,68.12,278.2,257.55,0.0/11.44/3.01/25.94/34.86/33.73/32.43/72.15/127.49/50.05/70.93/68.12
2026-09-07,006503,财通集成电路产业股票C,股票型,中高风险,财通基金,金梓才,2018-11-29,59.35,5,-1,9.56,84.48,3.45,14.02,92.78,3.64,-40.44,1.06,-6.97,76.14,130.3,450.86,379.63,0.0/12.92/6.81/28.39/35.37/30.52/38.87/100.95/228.91/106.55/147.03/130.3
2026-09-07,009707,工银新兴制造混合A,混合型-偏股,中高风险,工银瑞信基金,马丽娜,2020-08-20,77.7,5,-1,36.21,93.1,0.06,9.25,64.5,2.72,-33.57,-3.11,14.2,42.88,93.81,290.53,268.23,0.0/22.93/8.79/16.31/47.26/37.2/23.25/80.47/167.64/77.78/102.86/93.81
2026-09-07,002910,易方达供给改革混合,混合型-灵活,中高风险,易方达基金,杨宗昌,2017-01-25,140.76,5,500000,48.44,81.81,0.07,15.8,90.19,2.54,-27.08,-2.51,48.51,87.39,185.59,276.19,207.87,0.0/12.31/8.37/15.52/51.54/58.62/38.54/93.4/204.5/175.6/195.55/185.59
2026-09-07,001075,宝盈转型动力混合A,混合型-灵活,中高风险,宝盈基金,容志能,2015-04-29,29.96,5,-1,14.64,94.4,0.09,9.73,53.61,3.43,-39.42,4.24,-15.44,24.48,61.76,291.97,310.51,0.0/11.49/-4.67/17.14/16.18/33.72/24.54/94.2/128.49/38.42/66.94/61.76
2026-09-04,539002,建信新兴市场混合(QDII)A,QDII-混合偏股,中高风险,建信基金,李博涵,2011-06-21,20.57,0,100,12.13,68.92,0.0,19.76,47.81,2.79,-30.02,8.38,-10.34,42.91,97.23,162.83,216.51,0.0/9.05/18.52/7.75/21.29/44.45/34.01/101.8/121.94/60.44/100.74/97.23
2026-09-07,009708,工银新兴制造混合C,混合型-偏股,中高风险,工银瑞信基金,马丽娜,2020-08-20,51.94,5,-1,52.12,93.1,0.06,9.25,63.74,2.72,-33.6,-3.15,14.09,42.58,92.94,287.17,263.59,0.0/22.9/8.69/16.17/46.98/36.92/22.92/79.89/166.64/77.05/102.01/92.94
2026-09-07,000411,景顺长城优质成长股票A,股票型,中高风险,景顺长城基金,张仲维,2014-01-02,50.75,5,-1,25.2,86.26,0.0,18.47,63.02,3.02,-33.02,6.3,-3.55,42.41,87.03,300.01,272.57,0.0/7.77/0.04/20.1/21.67/35.04/25.98/66.21/134.55/57.11/85.5/87.03
2026-09-07,000390,华商优势行业混合A,混合型-灵活,中高风险,华商基金,张明昕,2013-12-11,161.07,5,-1,33.93,90.1,0.0,10.81,54.52,2.57,-40.42,1.43,-12.22,38.55,91.6,272.86,222.71,0.0/12.92/1.51/22.66/22.91/38.81/41.63/88.16/174.46/63.53/102.86/91.6
2026-09-07,001048,富国新兴产业股票A,股票型,中高风险,富国基金,孙权,2015-03-12,123.03,5,5000000,44.3,91.11,0.0,9.27,61.72,3.07,-32.49,2.42,-3.44,49.52,80.57,312.5,233.96,0.0/13.11/0.02/15.04/24.53/16.52/15.68/81.29/135.25/58.82/81.91/80.57
2026-09-07,010115,易方达远见成长混合A,混合型-偏股,中高风险,易方达基金,武阳,2021-03-05,75.73,5,100000,13.12,94.46,0.0,6.44,74.18,3.38,-39.44,11.02,-3.59,49.13,110.11,370.0,242.77,0.0/9.54/-3.68/20.02/17.52/45.18/38.82/120.95/171.36/64.33/107.01/110.11
2026-09-07,001170,宏利复兴混合A,混合型-灵活,中高风险,宏利基金,孙硕,2015-04-21,39.84,5,-1,38.18,89.83,0.0,10.78,78.39,3.65,-37.85,3.92,-8.96,52.61,121.57,385.64,321.05,0.0/13.21/6.27/29.3/27.79/43.82/45.97/109.86/206.7/90.62/126.63/121.57
2026-09-07,519770,交银优择回报灵活配置混合A,混合型-灵活,中高风险,交银施罗德基金,周珊珊,2016-04-22,44.16,5,-1,1.59,89.26,5.57,5.9,70.19,1.87,-28.25,0.04,1.85,48.93,105.89,319.55,312.08,0.0/11.66/4.88/20.86/23.77/43.22/28.06/97.3/156.12/83.76/115.65/105.89
2026-09-07,011412,易方达远见成长混合C,混合型-偏股,中高风险,易方达基金,武阳,2021-03-05,61.14,5,100000,36.33,94.46,0.0,6.44,73.4,3.38,-39.47,10.98,-3.69,48.83,109.24,366.19,238.64,0.0/9.54/-3.76/19.9/17.36/44.88/38.49/120.33/170.46/63.71/106.22/109.24
2026-09-07,519771,交银优择回报灵活配置混合C,混合型-灵活,中高风险,交银施罗德基金,周珊珊,2016-04-22,53.62,5,-1,15.22,89.26,5.57,5.9,69.83,1.87,-28.27,0.02,1.8,48.78,105.48,318.1,309.49,0.0/11.65/4.84/20.8/23.69/43.09/27.93/97.03/155.73/83.44/115.25/105.48
2026-09-07,001198,东方惠新灵活配置混合A,混合型-灵活,中高风险,东方基金,严凯,2015-04-21,11.04,5,-1,3.08,93.62,5.29,10.42,80.22,3.43,-38.93,-2.71,10.84,53.35,130.89,371.94,296.71,0.0/24.15/12.65/26.56/62.37/52.28/32.77/135.74/235.25/104.74/146.08/130.89
2026-09-04,006373,国富全球科技互联混合(QDII)人民币A,QDII-混合偏股,中高风险,国海富兰克林基金,徐成,2018-11-20,58.83,5,100,23.66,72.87,6.96,11.39,33.46,2.18,-29.72,1.85,-13.93,32.81,70.39,120.31,178.25,0.0/5.76/10.64/1.41/28.08/38.73/22.61/86.56/113.48/50.02/77.16/70.39
2026-09-07,000522,华润元大信息传媒科技混合A,混合型-偏股,中高风险,华润元大基金,李武群,2014-03-31,3.07,4,-1,0.18,85.6,0.0,17.78,39.58,3.03,-32.95,3.33,-6.4,23.35,57.42,186.87,203.8,0.0/14.07/-1.19/20.62/20.12/31.69/20.1/83.24/101.35/35.01/61.08/57.42
2026-09-07,002163,东方惠新灵活配置混合C,混合型-灵活,中高风险,东方基金,严凯,2015-11-20,34.67,5,-1,12.21,93.62,5.29,10.42,79.61,3.43,-38.95,-2.74,10.76,53.11,130.22,369.01,293.31,0.0/24.14/12.6/26.46/62.2/52.12/32.56/135.26/234.48/104.2/145.42/130.22
2026-09-07,010391,易方达战略新兴产业股票A,股票型,中高风险,易方达基金,欧阳良琦,2021-01-13,90.48,5,1000000,11.85,87.95,0.0,13.72,68.01,2.73,-28.3,-0.7,1.99,48.9,95.23,325.21,290.85,0.0/17.99/5.48/19.66/29.61/23.74/28.43/89.65/154.52/82.49/105.3/95.23
2026-09-07,010392,易方达战略新兴产业股票C,股票型,中高风险,易方达基金,欧阳良琦,2021-01-13,62.53,5,1000000,47.51,87.95,0.0,13.72,67.25,2.73,-28.33,-0.74,1.88,48.6,94.45,321.73,286.09,0.0/17.97/5.39/19.53/29.4/23.53/28.13/89.14/153.69/81.83/104.53/94.45
2026-09-07,005825,申万菱信智能驱动股票A,股票型,中高风险,申万菱信基金,卜忠林,2018-06-13,11.08,5,-1,28.01,88.42,0.0,15.52,87.54,2.6,-32.33,9.38,23.96,73.18,141.18,331.14,283.76,0.0/20.17/5.1/21.51/46.37/33.52/29.91/116.87/190.11/96.3/139.99/141.18
2026-09-07,008889,银华中证5G通信主题ETF联接A,指数型-股票,中高风险,银华基金,马君,2020-05-28,7.68,5,-1,0.0,0.0,0.0,9.0,46.52,2.98,-34.54,3.32,-10.3,30.69,67.07,232.27,219.91,0.0/16.14/2.38/21.07/27.82/23.55/23.16/62.12/122.32/45.53/70.27/67.07
2026-09-07,007343,嘉实科技创新混合,混合型-偏股,中高风险,嘉实基金,王贵重,2019-05-07,78.02,5,1000000,25.69,94.69,2.74,4.33,58.94,2.73,-31.82,3.84,14.46,56.4,85.02,226.08,209.65,0.0/13.49/-1.92/4.96/26.83/18.3/12.47/83.99/135.16/60.33/86.11/85.02
2026-09-07,008086,华夏中证5G通信主题ETF联接A,指数型-股票,中高风险,华夏基金,李俊,2019-12-10,38.7,5,-1,0.06,2.0,0.35,5.28,46.68,3.03,-35.16,3.22,-11.06,30.27,66.82,235.76,223.07,0.0/15.87/1.77/21.12/27.79/23.63/23.75/63.12/124.21/45.38/70.32/66.82
2026-09-07,501015,财通多策略升级混合(LOF)A,混合型-灵活,中高风险,财通基金,沈犁,2016-03-09,5.4,5,-1,7.29,92.62,2.2,5.71,47.86,2.9,-40.55,7.32,-5.1,36.14,55.17,242.68,191.28,0.0/6.49/-5.69/0.75/17.28/11.34/8.29/45.63/110.44/25.11/58.46/55.17
2026-09-07,006025,诺安优化配置混合A,混合型-偏股,中高风险,诺安基金,刘慧影,2018-09-20,11.82,5,-1,64.17,90.18,0.0,9.31,52.5,3.06,-31.62,-5.64,22.75,40.99,79.39,236.67,147.15,0.0/24.35/8.36/18.11/39.78/29.91/14.96/73.64/121.8/96.44/86.53/79.39
2026-09-07,010524,银华中证5G通信主题ETF联接C,指数型-股票,中高风险,银华基金,马君,2021-01-04,20.48,5,-1,0.47,0.0,0.0,9.0,46.08,2.98,-34.56,3.3,-10.36,30.5,66.6,230.34,217.09,0.0/16.12/2.33/20.98/27.69/23.41/22.97/61.82/121.81/45.15/69.81/66.6
2026-09-07,008087,华夏中证5G通信主题ETF联接C,指数型-股票,中高风险,华夏基金,李俊,2019-12-10,59.98,5,-1,1.46,2.0,0.35,5.28,46.22,3.03,-35.18,3.2,-11.12,30.08,66.33,233.76,220.18,0.0/15.85/1.7/21.02/27.64/23.48/23.54/62.81/123.67/44.99/69.84/66.33
2026-09-07,001513,易方达信息产业混合A,混合型-偏股,中高风险,易方达基金,郑希,2016-09-27,130.24,5,10000,9.13,86.19,0.01,15.9,58.44,2.76,-33.85,-1.08,-6.2,40.45,78.28,301.53,265.11,0.0/14.52/4.32/18.95/27.52/25.1/24.31/61.96/142.38/61.18/87.26/78.28
2026-09-07,005851,财通新视野灵活配置混合A,混合型-灵活,中高风险,财通基金,沈犁,2018-06-25,37.35,5,-1,21.08,93.46,0.79,15.35,44.73,2.89,-40.06,6.21,-6.4,34.58,52.22,228.96,181.16,0.0/6.72/-5.58/3.92/18.01/10.6/7.17/44.38/107.42/24.32/56.29/52.22
2026-09-07,005844,东方人工智能主题混合A,混合型-偏股,中高风险,东方基金,严凯,2018-06-07,37.96,4,100000,1.61,94.72,5.22,4.27,81.99,3.62,-34.24,-2.21,28.1,67.94,153.85,322.8,215.66,0.0/26.6/8.69/29.04/63.84/61.8/33.65/132.42/239.2/123.07/170.33/153.85
2026-09-07,000979,景顺长城沪港深精选股票A,股票型,中高风险,景顺长城基金,张仲维,2015-04-15,97.96,5,-1,21.52,85.47,0.0,19.84,30.85,1.95,-33.37,3.88,-9.08,24.45,48.83,135.78,154.08,0.0/8.7/0.78/16.25/23.44/18.63/15.8/48.2/94.86/29.84/48.77/48.83
2026-09-07,006533,易方达科融混合,混合型-偏股,中高风险,易方达基金,刘健维,2019-03-26,130.76,5,100000,16.45,89.56,0.01,15.75,52.78,2.39,-25.53,0.46,-1.08,32.46,62.72,271.01,251.01,0.0/14.63/9.66/22.61/24.89/20.73/24.06/65.03/95.77/45.8/68.35/62.72
2026-09-07,162201,宏利成长混合,混合型-灵活,中高风险,宏利基金,孙硕,2003-04-25,64.27,5,-1,2.04,90.83,20.48,4.7,76.69,3.52,-37.61,3.63,-9.31,48.02,112.99,363.07,378.12,0.0/14.0/6.55/30.18/27.69/42.21/42.69/104.82/195.0/84.04/118.02/112.99
2026-09-07,011369,华商均衡成长混合A,混合型-偏股,中高风险,华商基金,张明昕,2021-04-08,90.16,5,2000000,4.42,90.16,0.0,12.51,86.46,2.95,-40.55,2.53,-8.24,52.92,141.66,436.55,331.87,0.0/16.4/6.42/31.25/32.33/58.85/53.99/131.43/242.47/117.24/153.86/141.66
2026-09-07,001322,东吴新趋势价值线混合,混合型-灵活,中高风险,东吴基金,刘元海,2015-07-01,16.55,4,5000,0.02,93.47,0.0,7.06,29.54,3.03,-31.19,-0.62,-11.49,12.6,27.83,175.54,196.59,0.0/15.7/-2.15/11.8/21.84/12.86/10.36/52.74/67.56/15.3/32.85/27.83
2026-09-07,006809,泰康香港银行指数A,指数型-股票,中高风险,泰康基金,袁帅,2019-04-16,4.76,5,-1,44.27,94.6,0.0,7.98,25.38,1.45,-11.16,5.63,10.35,19.59,27.93,84.61,115.94,0.0/-0.28/11.08/6.09/9.63/5.02/14.93/16.3/9.72/24.78/20.09/27.93
2026-09-07,002152,华宝核心优势混合A,混合型-灵活,中高风险,华宝基金,郑英亮,2016-01-21,24.03,5,-1,15.4,90.62,0.0,15.85,47.68,2.46,-27.13,0.6,-1.47,24.17,57.31,249.53,237.44,0.0/14.47/5.83/23.78/21.46/23.28/24.97/49.06/76.98/52.52/65.32/57.31
2026-09-07,005959,财通新视野灵活配置混合C,混合型-灵活,中高风险,财通基金,沈犁,2018-06-25,27.02,5,-1,69.48,93.46,0.79,15.35,43.57,2.88,-40.12,6.14,-6.59,34.03,51.01,223.74,174.5,0.0/6.68/-5.73/3.71/17.64/10.22/6.7/43.67/106.11/23.43/55.14/51.01
2026-09-07,006810,泰康香港银行指数C,指数型-股票,中高风险,泰康基金,袁帅,2019-04-16,2.63,5,-1,2.75,94.6,0.0,7.98,25.09,1.45,-11.18,5.59,10.24,19.33,27.34,84.17,114.56,0.0/-0.33/10.99/5.98/9.48/4.76/14.6/15.92/9.31/24.26/19.57/27.34
2026-09-07,009994,嘉实创新先锋混合A,混合型-偏股,中高风险,嘉实基金,王贵重,2020-10-20,30.6,5,5000000,1.79,91.32,2.89,5.61,41.98,2.81,-37.55,0.2,-6.3,28.0,60.56,209.02,200.09,0.0/15.08/-1.32/10.2/34.3/34.32/13.99/86.34/129.83/43.53/66.02/60.56
2026-09-07,010418,财通景气行业混合A,混合型-偏股,中高风险,财通基金,沈犁,2020-12-09,6.14,5,-1,26.82,93.27,0.0,5.88,47.57,2.9,-40.02,5.93,-5.23,36.38,55.04,242.34,194.34,0.0/6.77/-5.55/4.16/18.34/11.0/7.91/45.78/111.48/26.84/59.28/55.04
2026-09-07,009048,浦银科技创新优选混合,混合型-偏股,中高风险,浦银基金,秦闻,2020-06-01,1.27,5,-1,0.0,93.04,0.0,16.76,36.41,2.91,-31.96,-2.68,-14.73,23.26,54.26,210.62,177.26,0.0/10.74/-0.81/16.87/24.02/24.63/22.13/66.37/117.51/47.99/59.97/54.26
2026-09-07,720001,财通价值动量混合A,混合型-灵活,中高风险,财通基金,金梓才,2011-12-01,67.22,5,-1,10.4,76.62,1.08,22.36,84.44,3.44,-36.91,1.08,-2.58,70.15,128.1,374.18,366.4,0.0/12.75/10.16/29.88/37.84/33.11/42.46/93.3/201.19/98.5/139.82/128.1
2026-09-07,501025,鹏华中证香港银行指数(LOF)A,指数型-股票,中高风险,鹏华基金,张羽翔,2016-11-10,7.65,5,-1,57.63,94.68,0.0,8.23,24.29,1.44,-11.22,5.57,9.48,18.34,26.62,82.35,111.34,0.0/-0.31/10.99/6.03/9.63/4.77/14.77/16.0/9.18/23.95/18.95/26.62
2026-09-07,000688,景顺长城研究精选股票A,股票型,中高风险,景顺长城基金,江山,2014-08-12,41.57,5,-1,63.77,92.96,5.24,4.7,47.24,2.79,-34.13,0.64,-7.4,37.17,70.39,217.86,229.56,0.0/14.69/3.09/21.22/33.88/23.49/23.99/84.22/126.03/48.89/77.01/70.39
2026-09-07,008988,大成科技创新混合A,混合型-偏股,中高风险,大成基金,郭玮羚,2020-04-29,48.72,5,-1,20.88,89.61,0.0,13.02,58.1,2.79,-41.0,-0.96,-15.01,35.58,81.69,318.21,277.18,0.0/15.72/3.87/21.1/22.17/39.42/30.87/87.85/186.73/77.01/89.52/81.69
